seed,model,calibration,prior_order,accuracy,nll,brier,ece,djs_est,djs_gt,djs_error,saturation,case,case_label,protocol
1,RF,platt,calibration->prior,0.4909090909090909,0.6535655277513027,0.2323776349170053,0.3900077694915188,0.11176501062846744,0.12957018613815308,0.017805175509685633,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
1,RF,isotonic,prior->calibration,0.9090909090909091,0.2680045461105321,0.07693959272895914,0.009565606806986012,-0.33699078360742407,0.12957018613815308,0.46656096974557715,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
1,RF,isotonic,calibration->prior,0.5818181818181818,0.6337032532067586,0.22396215428391011,0.3621396147711936,0.11628638147728176,0.12957018613815308,0.013283804660871312,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
1,RF,temperature,prior->calibration,0.7454545454545455,0.41308077321446496,0.14153029085479593,0.2127020578854894,0.1595819976365549,0.12957018613815308,0.03001181149840182,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
1,RF,temperature,calibration->prior,0.4909090909090909,0.9419273067151781,0.34348196254583463,0.4375340792736085,0.09577299096295344,0.12957018613815308,0.033797195175199635,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
1,XGBoost,platt,prior->calibration,0.9090909090909091,0.2511711165274742,0.07087555347202289,0.038182770995660836,-0.3020173367745066,0.12957018613815308,0.43158752291265967,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
1,XGBoost,platt,calibration->prior,0.6909090909090909,0.5986157123940093,0.20611135129901353,0.3698903745943328,0.14564651634601666,0.12957018613815308,0.016076330207863587,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
1,XGBoost,isotonic,prior->calibration,0.9272727272727272,0.2208114239649052,0.06195227511588239,0.016674215562175694,-0.17617436764088057,0.12957018613815308,0.30574455377903365,0.14545454545454545,use_case_6,UC6 ratio=0.1,prior->calibration
1,XGBoost,isotonic,calibration->prior,0.5,0.5175099433052895,0.17972256242593912,0.30742128415024195,0.21383395099144942,0.12957018613815308,0.08426376485329634,0.14545454545454545,use_case_6,UC6 ratio=0.1,calibration->prior
1,XGBoost,temperature,prior->calibration,0.8818181818181818,0.32898189100412967,0.1022733761370597,0.15767339353322424,0.1405302449903867,0.12957018613815308,0.010960058852233612,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
1,XGBoost,temperature,calibration->prior,0.6909090909090909,0.5896998965094548,0.203422479492951,0.35817238653448785,0.16504618783250613,0.12957018613815308,0.035476001694353054,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
2,RF,platt,prior->calibration,0.9090909090909091,0.2842609639735398,0.07940142527224192,0.02499564588657319,-0.44458883436910346,0.12998774647712708,0.5745765808462305,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
2,RF,platt,calibration->prior,0.41818181818181815,0.6704896742102716,0.23949598216571263,0.40211773492468794,0.06346370712486804,0.12998774647712708,0.06652403935225903,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
2,RF,isotonic,prior->calibration,0.9090909090909091,0.2697467611675242,0.07653087869363699,0.027625622978302337,-0.2864384040155652,0.12998774647712708,0.41642615049269227,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
2,RF,isotonic,calibration->prior,0.7818181818181819,0.6502496727167812,0.21693551953049567,0.36631977197759963,0.10312620088437574,0.12998774647712708,0.026861545592751335,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
